"","FISHING-DEPTH-FATHOMS","FT-CFEC-VALUE-DOLLARS","FT-CFEC-WHOLE-POUNDS","FT-INSEASON-AMOUNT-LBS","HAUL","HAUL-CHINOOK","HAUL-CHUM","HAUL-FT-CFEC-VALUE-DOLLARS","HAUL-FT-CFEC-WHOLE-POUNDS","HAUL-LBS-110-PACIFIC-COD-LBS","HAUL-LBS-270-POLLOCK-LBS","HAUL-LBS-OTHER-LBS","HAUL-VALUE-110-PACIFIC-COD-DOLLARS","HAUL-VALUE-270-POLLOCK-DOLLARS","HAUL-VALUE-OTHER-DOLLARS","LBS-110-PACIFIC-COD-LBS","LBS-270-POLLOCK-LBS","LBS-OTHER-LBS","LonLat-END-LON","LonLat-END-LAT","LonLat-START-LON","LonLat-START-LAT","OBS-CREW-SIZE","OFFICIAL-TOTAL-CATCH-MT","PERMIT"
"FISHING_DEPTH_FATHOMS",1,-0.11,-0.09,-0.09,0,0.14,-0.06,-0.1,-0.09,-0.07,-0.08,0.05,-0.07,-0.09,0.19,-0.09,-0.08,0.04,-0.01,-0.4,-0.01,-0.4,-0.03,-0.1,-0.01
"FT_CFEC_VALUE_DOLLARS",-0.11,1,0.98,0.98,-0.07,0.16,0.03,0.67,0.64,-0.22,0.65,0.01,-0.22,0.68,-0.03,-0.2,0.96,0.03,-0.26,0.31,-0.25,0.32,0.66,0.63,0.04
"FT_CFEC_WHOLE_POUNDS",-0.09,0.98,1,1,-0.06,0.16,0.04,0.66,0.66,-0.31,0.67,0.04,-0.32,0.68,-0.02,-0.31,0.99,0.06,-0.3,0.35,-0.29,0.36,0.66,0.65,0.05
"FT_INSEASON_AMOUNT_LBS",-0.09,0.98,1,1,-0.06,0.16,0.04,0.66,0.66,-0.32,0.67,0.04,-0.32,0.68,-0.02,-0.31,0.99,0.06,-0.3,0.35,-0.29,0.36,0.66,0.65,0.05
"HAUL",0,-0.07,-0.06,-0.06,1,0,-0.03,-0.01,0,-0.05,0,0.01,-0.06,0,-0.02,-0.06,-0.05,-0.01,0.01,0.02,0,0.02,-0.04,0,0.06
"HAUL_CHINOOK",0.14,0.16,0.16,0.16,0,1,0.01,0.18,0.18,-0.1,0.18,0.08,-0.11,0.19,-0.01,-0.12,0.16,0.03,0.12,-0.2,0.13,-0.19,0.19,0.17,0.02
"HAUL_CHUM",-0.06,0.03,0.04,0.04,-0.03,0.01,1,0.12,0.14,-0.11,0.14,0.08,-0.11,0.13,0.05,-0.11,0.05,0.02,0.06,0.06,0.06,0.07,0.06,0.14,0
"HAUL_FT_CFEC_VALUE_DOLLARS",-0.1,0.67,0.66,0.66,-0.01,0.18,0.12,1,0.99,-0.15,0.98,0.11,-0.17,0.99,0,-0.22,0.67,-0.11,-0.24,0.25,-0.23,0.26,0.45,0.98,0
"HAUL_FT_CFEC_WHOLE_POUNDS",-0.09,0.64,0.66,0.66,0,0.18,0.14,0.99,1,-0.2,1,0.14,-0.23,0.99,0.01,-0.27,0.67,-0.09,-0.26,0.27,-0.25,0.28,0.44,0.99,0
"HAUL_LBS_110_PACIFIC_COD_LBS",-0.07,-0.22,-0.31,-0.32,-0.05,-0.1,-0.11,-0.15,-0.2,1,-0.27,0.01,0.99,-0.27,-0.04,0.88,-0.41,-0.03,0.17,-0.19,0.14,-0.23,-0.11,-0.2,-0.03
"HAUL_LBS_270_POLLOCK_LBS",-0.08,0.65,0.67,0.67,0,0.18,0.14,0.98,1,-0.27,1,0.1,-0.29,0.99,-0.01,-0.33,0.69,-0.12,-0.27,0.28,-0.26,0.29,0.43,0.99,0
"HAUL_LBS_OTHER_LBS",0.05,0.01,0.04,0.04,0.01,0.08,0.08,0.11,0.14,0.01,0.1,1,-0.03,0.1,0.53,-0.04,0.01,0.8,0.12,-0.06,0.12,-0.06,0.1,0.15,-0.03
"HAUL_VALUE_110_PACIFIC_COD_DOLLARS",-0.07,-0.22,-0.32,-0.32,-0.06,-0.11,-0.11,-0.17,-0.23,0.99,-0.29,-0.03,1,-0.29,-0.05,0.88,-0.42,-0.05,0.16,-0.19,0.14,-0.23,-0.12,-0.23,-0.03
"HAUL_VALUE_270_POLLOCK_DOLLARS",-0.09,0.68,0.68,0.68,0,0.19,0.13,0.99,0.99,-0.27,0.99,0.1,-0.29,1,0,-0.32,0.7,-0.11,-0.25,0.27,-0.24,0.28,0.45,0.98,0
"HAUL_VALUE_OTHER_DOLLARS",0.19,-0.03,-0.02,-0.02,-0.02,-0.01,0.05,0,0.01,-0.04,-0.01,0.53,-0.05,0,1,-0.04,-0.04,0.45,0.03,-0.11,0.02,-0.11,0.02,0.01,-0.04
"LBS_110_PACIFIC_COD_LBS",-0.09,-0.2,-0.31,-0.31,-0.06,-0.12,-0.11,-0.22,-0.27,0.88,-0.33,-0.04,0.88,-0.32,-0.04,1,-0.43,-0.02,0.18,-0.19,0.15,-0.23,-0.12,-0.27,-0.02
"LBS_270_POLLOCK_LBS",-0.08,0.96,0.99,0.99,-0.05,0.16,0.05,0.67,0.67,-0.41,0.69,0.01,-0.42,0.7,-0.04,-0.43,1,0.02,-0.32,0.36,-0.3,0.38,0.64,0.66,0.05
"LBS_OTHER_LBS",0.04,0.03,0.06,0.06,-0.01,0.03,0.02,-0.11,-0.09,-0.03,-0.12,0.8,-0.05,-0.11,0.45,-0.02,0.02,1,0.15,-0.05,0.14,-0.04,0.09,-0.08,-0.02
"LonLat_END_LON",-0.01,-0.26,-0.3,-0.3,0.01,0.12,0.06,-0.24,-0.26,0.17,-0.27,0.12,0.16,-0.25,0.03,0.18,-0.32,0.15,1,-0.73,1,-0.73,-0.19,-0.25,-0.04
"LonLat_END_LAT",-0.4,0.31,0.35,0.35,0.02,-0.2,0.06,0.25,0.27,-0.19,0.28,-0.06,-0.19,0.27,-0.11,-0.19,0.36,-0.05,-0.73,1,-0.73,0.99,0.17,0.27,0.05
"LonLat_START_LON",-0.01,-0.25,-0.29,-0.29,0,0.13,0.06,-0.23,-0.25,0.14,-0.26,0.12,0.14,-0.24,0.02,0.15,-0.3,0.14,1,-0.73,1,-0.72,-0.18,-0.24,-0.04
"LonLat_START_LAT",-0.4,0.32,0.36,0.36,0.02,-0.19,0.07,0.26,0.28,-0.23,0.29,-0.06,-0.23,0.28,-0.11,-0.23,0.38,-0.04,-0.73,0.99,-0.72,1,0.18,0.28,0.05
"OBS_CREW_SIZE",-0.03,0.66,0.66,0.66,-0.04,0.19,0.06,0.45,0.44,-0.11,0.43,0.1,-0.12,0.45,0.02,-0.12,0.64,0.09,-0.19,0.17,-0.18,0.18,1,0.43,0.04
"OFFICIAL_TOTAL_CATCH_MT",-0.1,0.63,0.65,0.65,0,0.17,0.14,0.98,0.99,-0.2,0.99,0.15,-0.23,0.98,0.01,-0.27,0.66,-0.08,-0.25,0.27,-0.24,0.28,0.43,1,0
"PERMIT",-0.01,0.04,0.05,0.05,0.06,0.02,0,0,0,-0.03,0,-0.03,-0.03,0,-0.04,-0.02,0.05,-0.02,-0.04,0.05,-0.04,0.05,0.04,0,1
